Airline,ORG,DES,Aircraft_Family,Aircraft_Type,June_2019_Flights,June_2019_Seats,June_2019_ASMs,June_2018_Flights,June_2018_Seats,June_2018_ASMs,June_Diff_Flights,June_Diff_Seats,June_Diff_ASMs,June_Rate_Flights,June_Rate_Seats,June_Rate_ASMs
AC,YYJ,YEG,DeHavilland Dash-8,DHC-8-400,0,0,0,60,"4,680","2,508,480",-60,"-4,680","-2,508,480",-100.00%,-100.00%,-100.00%
AC,DEN,YUL,E-Jet,E-175,0,0,0,62,"4,712","7,591,032",-62,"-4,712","-7,591,032",-100.00%,-100.00%,-100.00%
AC,EWR,YYZ,E-Jet,E-190,0,0,0,62,"6,014","2,086,858",-62,"-6,014","-2,086,858",-100.00%,-100.00%,-100.00%
AC,LAX,YUL,A320,A320,0,0,0,62,"9,052","22,385,596",-62,"-9,052","-22,385,596",-100.00%,-100.00%,-100.00%
AC,YHZ,YQX,DeHavilland Dash-8,DHC-8-300,0,0,0,62,"3,100","1,574,800",-62,"-3,100","-1,574,800",-100.00%,-100.00%,-100.00%
AC,YHZ,YYT,E-Jet,E-190,0,0,0,62,"6,014","3,301,686",-62,"-6,014","-3,301,686",-100.00%,-100.00%,-100.00%
AC,YLW,YYC,DeHavilland Dash-8,DHC-8-300,0,0,0,62,"3,100","771,900",-62,"-3,100","-771,900",-100.00%,-100.00%,-100.00%
AC,YLW,YYZ,A320,A319,0,0,0,62,"8,432","16,105,120",-62,"-8,432","-16,105,120",-100.00%,-100.00%,-100.00%
AC,YQB,YUL,DeHavilland Dash-8,DHC-8-100,0,0,0,62,"2,294","332,630",-62,"-2,294","-332,630",-100.00%,-100.00%,-100.00%
AC,YQX,YHZ,DeHavilland Dash-8,DHC-8-300,0,0,0,62,"3,100","1,574,800",-62,"-3,100","-1,574,800",-100.00%,-100.00%,-100.00%
AC,YUL,DEN,E-Jet,E-175,0,0,0,62,"4,712","7,591,032",-62,"-4,712","-7,591,032",-100.00%,-100.00%,-100.00%
AC,YUL,LAX,A320,A320,0,0,0,62,"9,052","22,385,596",-62,"-9,052","-22,385,596",-100.00%,-100.00%,-100.00%
